Date,Time,PAR_rcb,PAR_greenup
8/25/18,6:45:00 PM,259,
8/25/18,7:00:00 PM,363,
8/25/18,7:15:00 PM,155,
8/25/18,7:30:00 PM,58,
8/25/18,7:45:00 PM,29,
8/25/18,8:00:00 PM,19,
8/25/18,8:15:00 PM,10,
8/25/18,8:30:00 PM,9,
8/25/18,8:45:00 PM,7,
8/25/18,9:00:00 PM,10,
8/25/18,9:15:00 PM,9,
8/25/18,9:30:00 PM,9,
8/25/18,9:45:00 PM,9,
8/25/18,10:00:00 PM,9,
8/25/18,10:15:00 PM,9,
8/25/18,10:30:00 PM,9,
8/25/18,10:45:00 PM,9,
8/25/18,11:00:00 PM,9,
8/25/18,11:15:00 PM,9,
8/25/18,11:30:00 PM,9,
8/25/18,11:45:00 PM,9,
8/26/18,12:00:00 AM,7,
8/26/18,12:15:00 AM,12,
8/26/18,12:30:00 AM,9,
8/26/18,12:45:00 AM,9,
8/26/18,1:00:00 AM,7,
8/26/18,1:15:00 AM,9,
8/26/18,1:30:00 AM,9,
8/26/18,1:45:00 AM,9,
8/26/18,2:00:00 AM,9,
8/26/18,2:15:00 AM,9,
8/26/18,2:30:00 AM,7,
8/26/18,2:45:00 AM,9,
8/26/18,3:00:00 AM,9,
8/26/18,3:15:00 AM,7,
8/26/18,3:30:00 AM,9,
8/26/18,3:45:00 AM,7,
8/26/18,4:00:00 AM,9,
8/26/18,4:15:00 AM,9,
8/26/18,4:30:00 AM,7,
8/26/18,4:45:00 AM,7,
8/26/18,5:00:00 AM,7,
8/26/18,5:15:00 AM,7,
8/26/18,5:30:00 AM,9,
8/26/18,5:45:00 AM,9,
8/26/18,6:00:00 AM,9,
8/26/18,6:15:00 AM,9,
8/26/18,6:30:00 AM,7,
8/26/18,6:45:00 AM,10,
8/26/18,7:00:00 AM,27,
8/26/18,7:15:00 AM,16,
8/26/18,7:30:00 AM,21,
8/26/18,7:45:00 AM,22,
8/26/18,8:00:00 AM,44,
8/26/18,8:15:00 AM,80,
8/26/18,8:30:00 AM,207,
8/26/18,8:45:00 AM,184,
8/26/18,9:00:00 AM,198,
8/26/18,9:15:00 AM,99,
8/26/18,9:30:00 AM,180,
8/26/18,9:45:00 AM,377,
8/26/18,10:00:00 AM,382,
8/26/18,10:15:00 AM,191,
8/26/18,10:30:00 AM,144,
8/26/18,10:45:00 AM,160,
8/26/18,11:00:00 AM,254,
8/26/18,11:15:00 AM,303,
8/26/18,11:30:00 AM,479,
8/26/18,11:45:00 AM,342,
8/26/18,12:00:00 PM,371,
8/26/18,12:15:00 PM,948,
8/26/18,12:30:00 PM,1675,
8/26/18,12:45:00 PM,1635,
8/26/18,1:00:00 PM,1713,
8/26/18,1:15:00 PM,1617,
8/26/18,1:30:00 PM,1654,
8/26/18,1:45:00 PM,1623,
8/26/18,2:00:00 PM,1592,
8/26/18,2:15:00 PM,1681,
8/26/18,2:30:00 PM,1616,
8/26/18,2:45:00 PM,1008,
8/26/18,3:00:00 PM,1308,
8/26/18,3:15:00 PM,1599,
8/26/18,3:30:00 PM,1524,
8/26/18,3:45:00 PM,1404,
8/26/18,4:00:00 PM,1235,
8/26/18,4:15:00 PM,1222,
8/26/18,4:30:00 PM,1130,
8/26/18,4:45:00 PM,1056,
8/26/18,5:00:00 PM,1067,
8/26/18,5:15:00 PM,431,
8/26/18,5:30:00 PM,391,
8/26/18,5:45:00 PM,851,
8/26/18,6:00:00 PM,685,
8/26/18,6:15:00 PM,599,
8/26/18,6:30:00 PM,408,
8/26/18,6:45:00 PM,334,
8/26/18,7:00:00 PM,164,
8/26/18,7:15:00 PM,180,
8/26/18,7:30:00 PM,69,
8/26/18,7:45:00 PM,33,
8/26/18,8:00:00 PM,15,
8/26/18,8:15:00 PM,9,
8/26/18,8:30:00 PM,9,
8/26/18,8:45:00 PM,7,
8/26/18,9:00:00 PM,7,
8/26/18,9:15:00 PM,9,
8/26/18,9:30:00 PM,9,
8/26/18,9:45:00 PM,9,
8/26/18,10:00:00 PM,9,
8/26/18,10:15:00 PM,6,
8/26/18,10:30:00 PM,9,
8/26/18,10:45:00 PM,7,
8/26/18,11:00:00 PM,7,
8/26/18,11:15:00 PM,7,
8/26/18,11:30:00 PM,7,
8/26/18,11:45:00 PM,7,
8/27/18,12:00:00 AM,7,
8/27/18,12:15:00 AM,9,
8/27/18,12:30:00 AM,9,
8/27/18,12:45:00 AM,9,
8/27/18,1:00:00 AM,7,
8/27/18,1:15:00 AM,9,
8/27/18,1:30:00 AM,6,
8/27/18,1:45:00 AM,7,
8/27/18,2:00:00 AM,7,
8/27/18,2:15:00 AM,7,
8/27/18,2:30:00 AM,9,
8/27/18,2:45:00 AM,9,
8/27/18,3:00:00 AM,7,
8/27/18,3:15:00 AM,9,
8/27/18,3:30:00 AM,7,
8/27/18,3:45:00 AM,9,
8/27/18,4:00:00 AM,9,
8/27/18,4:15:00 AM,9,
8/27/18,4:30:00 AM,9,
8/27/18,4:45:00 AM,7,
8/27/18,5:00:00 AM,9,
8/27/18,5:15:00 AM,9,
8/27/18,5:30:00 AM,9,
8/27/18,5:45:00 AM,7,
8/27/18,6:00:00 AM,7,
8/27/18,6:15:00 AM,9,
8/27/18,6:30:00 AM,9,
8/27/18,6:45:00 AM,12,
8/27/18,7:00:00 AM,25,
8/27/18,7:15:00 AM,50,
8/27/18,7:30:00 AM,83,
8/27/18,7:45:00 AM,112,
8/27/18,8:00:00 AM,139,
8/27/18,8:15:00 AM,216,
8/27/18,8:30:00 AM,380,
8/27/18,8:45:00 AM,284,
8/27/18,9:00:00 AM,550,
8/27/18,9:15:00 AM,648,
8/27/18,9:30:00 AM,735,
8/27/18,9:45:00 AM,823,
8/27/18,10:00:00 AM,843,
8/27/18,10:15:00 AM,991,
8/27/18,10:30:00 AM,1061,
8/27/18,10:45:00 AM,1132,
8/27/18,11:00:00 AM,1216,
8/27/18,11:15:00 AM,1280,
8/27/18,11:30:00 AM,1368,
8/27/18,11:45:00 AM,1397,
8/27/18,12:00:00 PM,1454,
8/27/18,12:15:00 PM,1508,
8/27/18,12:30:00 PM,1559,
8/27/18,12:45:00 PM,1625,
8/27/18,1:00:00 PM,1660,
8/27/18,1:15:00 PM,1706,
8/27/18,1:30:00 PM,1732,
8/27/18,1:45:00 PM,1728,
8/27/18,2:00:00 PM,1712,
8/27/18,2:15:00 PM,1718,
8/27/18,2:30:00 PM,1799,
8/27/18,2:45:00 PM,1660,
8/27/18,3:00:00 PM,1601,
8/27/18,3:15:00 PM,681,
8/27/18,3:30:00 PM,1459,
8/27/18,3:45:00 PM,1459,
8/27/18,4:00:00 PM,997,
8/27/18,4:15:00 PM,1277,
8/27/18,4:30:00 PM,1182,
8/27/18,4:45:00 PM,1098,
8/27/18,5:00:00 PM,1006,
8/27/18,5:15:00 PM,920,
8/27/18,5:30:00 PM,834,
8/27/18,5:45:00 PM,725,
8/27/18,6:00:00 PM,626,
8/27/18,6:15:00 PM,533,
8/27/18,6:30:00 PM,435,
8/27/18,6:45:00 PM,340,
8/27/18,7:00:00 PM,253,
8/27/18,7:15:00 PM,172,
